"ID","size","tissue","shell","clump.size","type","layer","fouling","body"
"H167",14.44,0.00300860502490191,0.0600642016604618,310,"Clump","Bottom","Fouled_by_QM",0.0500898195885349
"H201",14.68,0.00426863705389925,0.0647686479621925,310,"Clump","Bottom",NA,0.0659059157200717
"H68",13.4,0.00425937479664854,0.0554702794072669,310,"Clump","Bottom","Fouling_QM",0.0767866115361687
"H64",7.48,0.00277158235169135,0.0478798520550429,310,"Clump","Bottom","Fouling_QM",0.057886192891848
"H44",7.54,0.00269782924229164,0.0538046882324326,310,"Clump","Bottom",NA,0.0501411555557613
"H61",7.77,0.00731277223004384,0.057907044654576,310,"Clump","Bottom",NA,0.126284673543014
"H54",15.17,0.00433020994835211,0.0489830889949229,310,"Clump","Bottom",NA,0.0884021411716385
"H117",9.6,0.00477472923445762,0.0535303742373384,310,"Clump",NA,NA,0.0891966346674102
"H116",10.84,0.00475266322273003,0.0630692357544666,310,"Clump",NA,NA,0.0753562837075198
"H37",6.97,0.00703543487893433,0.0499149547922268,310,"Clump",NA,NA,0.140948437361501
"H28",8.41,0.00373203933796136,0.0443576044173388,310,"Clump",NA,NA,0.0841352770733163
"H33",7.66,0.00511557972671381,0.0603437456476436,310,"Clump",NA,NA,0.0847739839781319
"H35",7.97,0.00223717818308123,0.0557979806807424,310,"Clump",NA,NA,0.0400942499314021
"H27",8.52,0.00357185895042565,0.0476516491595827,310,"Clump",NA,NA,0.0749577194792083
"H29",8.73,0.00493500037399037,0.0520701862605317,310,"Clump",NA,NA,0.0947759308810273
"H30",8.51,0.00358604800003234,0.0577061919174858,310,"Clump",NA,NA,0.0621432099550086
"H32",8,0.00441796551783751,0.0768790764372891,310,"Clump",NA,NA,0.0574664228886943
"E3",9.51,0.0110902385512765,0.0813161872255277,1,"Singleton",NA,NA,0.13638414354719
"E5",10.49,0.00973412831779416,0.0630420697590419,1,"Singleton",NA,NA,0.154406864416091
"E4",10.57,0.00948764598110748,0.0722450205057212,1,"Singleton",NA,NA,0.131325950421125
"E1",12.56,0.00529978509889236,0.052438845601803,1,"Singleton",NA,NA,0.101066013907639
"E2",15.72,0.00496899613489292,0.04139407043653,1,"Singleton",NA,NA,0.120041254278483
"N15",11.53,0.00707466304825139,0.069210719707963,48,"Mono",NA,NA,0.102219180469488
"N12",11.57,0.0063567573014918,0.0597016970155636,48,"Mono",NA,NA,0.106475320120878
"N14",13.93,0.00577472814506633,0.0535530155658139,48,"Mono",NA,NA,0.107831988246665
"N13",14.68,0.00426863705389925,0.051814918369754,48,"Mono",NA,NA,0.0823823946500896
"N10",5.94,0.0120706585449265,0.0559399323135665,48,"Mono",NA,NA,0.215778926532579
"N9",7.85,0.00706421871689459,0.0666280756459171,48,"Mono",NA,NA,0.106024654748189
"N7",9.77,0.00675001641897949,0.0553062926064456,48,"Mono",NA,NA,0.12204789185585
"N5",11.34,0.00680258569738795,0.0711784112782049,48,"Mono",NA,NA,0.0955709122362911
"N4",11.52,0.00709541617271883,0.0638887357089614,48,"Mono",NA,NA,0.111058954195639
"N11",11.75,0.00543056185973798,0.0603399890127372,48,"Mono",NA,NA,0.0899993842987217
"N8",12.21,0.00583033207716093,0.0632900977265729,48,"Mono",NA,NA,0.0921207627510586
"N17",12.64,0.00565897988938306,0.0614669379816268,48,"Mono",NA,NA,0.0920654269629406
"N3",12.97,0.00475514859925592,0.0638807508430052,48,"Mono",NA,NA,0.074437894616209
"N6",9.16,0.00559415045460364,0.0546423750612795,48,"Mono",NA,NA,0.102377512842917
"N16",12.28,0.00623879382671204,0.0599682597384296,48,"Mono",NA,NA,0.10403493204446
"N2",13.11,0.00541968640312564,0.0515283223665657,48,"Mono",NA,NA,0.105178786232758
"N1",20.2,0.00445633989506414,0.0625904713280979,48,"Mono",NA,NA,0.0711983757352473
"N18",22.73,0.00422793530883683,0.0356383427053769,48,"Mono",NA,NA,0.118634453453385
