"ID","size","tissue","shell","clump.size","type","layer","fouling","body"
"M58",12.2,0.0137156292894559,0.159476368161703,99,"Clump",NA,NA,0.0860041487497934
"K50",12.29,0.0200435237483758,0.15912346423056,116,"Clump",NA,NA,0.125962087648707
"M61",12.34,0.0197566731111631,0.161768794479608,99,"Clump",NA,NA,0.122129074242767
"M18",12.36,0.00818475280987347,0.139934190527212,99,"Clump",NA,NA,0.0584900143348588
"K5",12.39,0.019475062849744,0.19272220399266,116,"Clump",NA,"Fouling_QM",0.101052512093966
"N200",12.55,0.0124051932685629,0.178386601277955,282,"Clump","Top","Fouling_QM",0.0695410595845911
"M44",12.58,0.0199882826221619,0.169994753577352,99,"Clump",NA,"Fouling_QM",0.117581761798706
"M68",12.59,0.0183987444093736,0.186699923500341,99,"Clump",NA,"Fouling_QM",0.0985471448751825
"L49",12.61,0.0182953501320886,0.163132945446626,92,"Clump",NA,NA,0.112149940540824
"M40",12.66,0.0270601546537496,0.164048108481793,99,"Clump",NA,"Fouling_QM",0.164952555102169
"N4",12.67,0.0179896024266116,0.183251426676815,282,"Clump",NA,NA,0.0981689624623678
"K57",12.68,0.0164443425627258,0.157705199415623,116,"Clump",NA,NA,0.10427267219889
"K69",12.69,0.0238521912249444,0.168478789461087,116,"Clump",NA,NA,0.141573852122516
"L53",12.73,0.0235871636945083,0.18485949632149,92,"Clump",NA,NA,0.127595087966094
"L62",12.76,0.0116954328602433,0.120562086073686,92,"Clump",NA,NA,0.0970075522174955
"H173",12.78,0.00581529064195984,0.11455271105967,310,"Clump","Bottom","Fouled_by_QM",0.0507651943648078
"K13",12.79,0.0231966566195579,0.164631006267141,116,"Clump",NA,"Fouled_by_QM",0.140900897987087
"H121",12.81,0.00720885343610386,0.120536607821807,310,"Clump","Top",NA,0.0598063407156849
"H175",12.82,0.0100644728369615,0.0986402889802419,310,"Clump","Bottom","Fouling_QM",0.102032069664531
