ID,clump,size,lnsize,wetmass,wetdemse,density,ogshell,lnshell,shell,final,foil,ogtissue,lntissue,tissue,ogcondition,condition,totaldense,type
21,3,31.03,3.434954478,3.676,28.74,9,1.589,0.463104888,1.086959704,,,0.118,-2.137070655,0.082343074,0.23,0.075755406,12,clump
22,3,27.79,3.324676244,3.208,28.74,9,1.206,0.187309098,1.229731628,,,0.092,-2.385966702,0.093714474,0.07628524,0.076207257,12,clump
23,3,32.55,3.482777369,4.074,28.74,9,1.509,0.41144718,0.868148901,,,0.189,-1.666008264,0.111935658,0.299,0.128936013,12,clump
24,3,30.64,3.422306345,3.403,28.74,9,1.333,0.287432041,0.954562588,,,0.147,-1.917322692,0.10712811,0.262,0.112227434,12,clump
25,3,28.88,3.363149314,2.641,28.74,9,1.019,0.018821754,0.903965664,,,0.111,-2.198225078,0.099090308,0.108930324,0.109617336,12,clump
26,3,28.19,3.338967305,3.18,28.74,9,1.169,0.156148682,1.131904824,,,0.112,-2.189256408,0.108629673,0.095808383,0.095970677,12,clump
27,3,28.51,3.350254903,2.969,28.74,9,1.133,0.124868982,1.053124115,,,0.122,-2.103734234,0.113835032,0.107678729,0.108092703,12,clump
28,3,30.6,3.421000009,3.072,28.74,9,1.042,0.041141943,0.749714188,,,0.115,-2.162823151,0.084184068,0.192,0.112288214,12,clump
58,9,26.85,3.290265821,3.24,15.97,6,1.103,0.09803374,1.273904163,,,0.114,-2.171556831,0.130671987,0.103354488,0.102575995,13,clump
59,9,26.21,3.266141017,2.746,13.2029,6,1.041,0.04018179,1.312017682,,,0.093,-2.375155786,0.115797084,0.089337176,0.088258783,13,clump
60,9,25.22,3.227637331,2.577,13.2029,6,1.08,0.076961041,1.564754223,,,0.103,-2.273026291,0.146355198,0.09537037,0.093532387,13,clump
61,9,24.75,3.208825489,2.2129,13.2029,6,0.918,-0.085557888,1.423770597,,,0.08,-2.525728644,0.121250517,0.087145969,0.085161554,13,clump
62,9,22.46,3.111735949,2.047,13.2029,6,0.834,-0.181521877,1.83824047,,,0.091,-2.396895772,0.192425446,0.10911271,0.104679148,13,clump
63,9,14.28,2.658859957,0.38,13.2029,6,0.146,-1.924148657,1.657968669,,,0.022,-3.816712826,0.21991836,0.150684932,0.132643254,13,clump
48,8,29,3.36729583,3.039,31.746,10,1.229,0.206200831,1.074015885,,,0.134,-2.009915479,0.117933238,0.109031733,0.10980586,14,clump
49,8,31.12,3.437850699,4.307,32.792,10,1.826,0.602127782,1.236052843,,,0.116,-2.154165088,0.080147275,0.227,0.064841301,14,clump
50,8,22.93,3.132446097,1.813,32.792,10,0.685,-0.378336441,1.400772051,,,0.071,-2.645075402,0.139839222,0.103649635,0.099830106,14,clump
51,8,26.99,3.295466427,3.215,32.792,10,1.127,0.119559235,1.277347459,,,0.124,-2.087473713,0.139621516,0.110026619,0.109305824,14,clump
52,8,26.59,3.280535205,3.162,32.792,10,1.153,0.142367241,1.379394534,,,0.125,-2.079441542,0.148143525,0.108412836,0.1073975,14,clump
53,8,27.23,3.304319307,2.838,32.792,10,1.018,0.017839918,1.117416013,,,0.11,-2.207274913,0.120153336,0.10805501,0.107527845,14,clump
54,8,29.78,3.393837027,4.066,32.792,10,1.308,0.268499253,1.038340821,,,0.134,-2.009915479,0.107671226,0.102446483,0.103695457,14,clump
55,8,28.93,3.364879119,3.087,32.792,10,1.258,0.229523158,1.109018742,,,0.13,-2.040220829,0.115365189,0.103338633,0.104024562,14,clump
56,8,30.53,3.418709807,3.641,32.792,10,1.309,0.269263487,0.949660095,,,0.157,-1.851509474,0.115835925,0.274,0.121976195,14,clump
57,8,30.07,3.403527997,3.624,32.792,10,1.42,0.350656872,1.088390918,,,0.156,-1.857899272,0.121250489,0.25,0.111403437,14,clump
320,38,23.1,3.139832618,1.664,23.378,8,0.565,-0.570929548,1.124896732,,,0.045,-3.101092789,0.086413179,0.079646018,0.076818766,14,clump
321,38,29.9,3.39785848,3.445,21.537,8,1.299,0.261594738,1.016293209,,,0.124,-2.087473713,0.098271157,0.095458045,0.096695674,14,clump
322,38,26.7,3.284663565,2.618,21.537,8,0.967,-0.033556784,1.139712424,,,0.112,-2.189256408,0.130870257,0.11582213,0.114827437,14,clump
323,38,32.8,3.490428515,3.077,21.537,8,1.156,0.14496577,0.646895447,,,0.103,-2.273026291,0.059421895,0.224,0.091857031,14,clump
324,38,30.8,3.42751469,3.751,21.537,8,1.401,0.337186267,0.984519032,,,0.121,-2.111964733,0.086618961,0.259,0.087980992,14,clump
325,38,30.1,3.404525172,3.43,21.537,8,1.298,0.260824618,0.991296454,,,0.129,-2.047942875,0.099922476,0.245,0.100799792,14,clump
326,38,16.6,2.809402695,0.513,21.537,8,0.194,-1.63989712,1.277467987,,,0.03,-3.506557897,0.178939851,0.154639175,0.140073843,14,clump
327,38,28.5,3.349904087,3.039,21.537,8,1.215,0.194744077,1.130778283,,,0.118,-2.137070655,0.110235302,0.097119342,0.097486221,14,clump
170,21,31.1,3.437207819,3.827,11.403,3,1.56,0.444685821,1.058452967,,,0.103,-2.273026291,0.071322351,0.275,0.06738358,17,clump
171,21,33.7,3.517497837,3.987,11.599,3,1.493,0.400787519,0.757493902,,,0.143,-1.944910649,0.075183413,0.276,0.099252829,17,clump
172,21,29.9,3.39785848,3.785,11.599,3,1.429,0.356974899,1.118000767,,,0.132,-2.024953356,0.104611231,0.092372288,0.09356991,17,clump
173,22,34.5,3.540959324,4.243,30.091,10,1.633,0.490418814,0.761063046,,,0.136,-1.995100393,0.065974479,0.25,0.086687272,17,clump
174,22,32.3,3.47506723,3.484,32.004,10,1.303,0.264669298,0.770851744,,,0.124,-2.087473713,0.075407335,0.243,0.097823395,17,clump
175,22,22.4,3.109060959,1.931,32.004,10,0.577,-0.549913012,1.284155337,,,0.093,-2.375155786,0.198467228,0.16117851,0.154550795,17,clump
176,22,25.6,3.242592351,2.535,32.004,10,1.115,0.108854405,1.53033238,,,0.079,-2.538307427,0.106640106,0.070852018,0.069684277,17,clump
177,22,29.1,3.370738174,3.793,32.004,10,1.319,0.276873874,1.138391777,,,0.156,-1.857899272,0.135683864,0.118271418,0.119189076,17,clump
178,22,30.1,3.404525172,3.523,32.004,10,1.364,0.310421559,1.041701359,,,0.121,-2.111964733,0.093725734,0.231,0.089973708,17,clump
179,22,31.4,3.446807893,3.408,32.004,10,1.215,0.194744077,0.796215314,,,0.128,-2.055725015,0.085762579,0.265,0.107712798,17,clump
180,22,29.7,3.391147046,2.445,32.004,10,1.03,0.029558802,0.825654691,,,0.096,-2.343407088,0.077852609,0.093203883,0.094291972,17,clump
181,22,27.9,3.328626689,3.164,32.004,10,1.212,0.192271888,1.21830206,,,0.133,-2.017406151,0.133655176,0.109735974,0.109706107,17,clump
182,22,29.4,3.380994674,3.478,32.004,10,1.306,0.266969031,1.086089,,,0.129,-2.047942875,0.108321565,0.098774885,0.09973544,17,clump
300,35,28.4,3.346389145,3.033,14.817,15,1.083,0.079734968,1.020835208,,,0.103,-2.273026291,0.097389442,0.095106187,0.095401727,17,clump
301,35,30.7,3.424262655,3.517,13.481,15,1.483,0.394067063,1.054483543,,,0.105,-2.253794929,0.076008337,0.188,0.072081103,17,clump
302,35,28.9,3.363841595,3.456,13.481,15,1.381,0.322807874,1.222033361,,,0.12,-2.120263536,0.106870589,0.086893555,0.087453086,17,clump
303,35,29.4,3.380994674,3.185,13.481,15,1.128,0.120446153,0.938061556,,,0.102,-2.282782466,0.085649609,0.090425532,0.091304892,17,clump
304,35,14.6,2.681021529,0.29,13.481,15,0.13,-2.040220829,1.362465735,,,0.024,-3.729701449,0.22235019,0.184615385,0.163196904,17,clump
191,24,26.7,3.284663565,3.178,22.78,8,1.449,0.370873663,1.707800726,,,0.112,-2.189256408,0.130870257,0.077294686,0.076630871,18,clump
192,24,30.7,3.424262655,2.902,20.968,8,1.144,0.134530893,0.813438418,,,0.129,-2.047942875,0.093381671,0.234,0.114798698,18,clump
193,24,26.9,3.292126287,2.538,20.968,8,1.077,0.074179398,1.235526384,,,0.118,-2.137070655,0.134396589,0.109563603,0.108776786,18,clump
194,24,27.3,3.306886702,2.428,20.968,8,0.958,-0.042907501,1.041828662,,,0.08,-2.525728644,0.086618103,0.083507307,0.083140449,18,clump
195,24,29.4,3.380994674,4.24,20.968,8,1.639,0.4940863,1.363016747,,,0.154,-1.870802677,0.129314116,0.093959732,0.094873461,18,clump
196,24,26.7,3.284663565,2.546,20.968,8,0.978,-0.022245609,1.152677094,,,0.116,-2.154165088,0.135544194,0.118609407,0.117590776,18,clump
197,24,30.5,3.417726684,2.818,20.968,8,0.949,-0.05234648,0.690940052,,,0.099,-2.312635429,0.073289761,0.21,0.106072532,18,clump
198,24,16.5,2.803360381,0.318,20.968,8,0.185,-1.687399454,1.245143554,,,0.029,-3.540459449,0.176597531,0.156756757,0.141829053,18,clump
210,29,29.7,3.391147046,3.945,40.581,11,1.479,0.391366184,1.185576007,,,0.118,-2.137070655,0.095693832,0.079783638,0.080715054,18,clump
211,29,28.9,3.363841595,3.696,31.41,11,1.669,0.512224645,1.476881738,,,0.125,-2.079441542,0.11132353,0.074895147,0.075377417,18,clump
212,29,27.9,3.328626689,2.943,31.41,11,1.035,0.034401427,1.040381709,,,0.116,-2.154165088,0.116571432,0.112077295,0.112046791,18,clump
213,29,30,3.401197382,3.308,31.41,11,1.333,0.287432041,1.03036425,,,0.148,-1.910543005,0.115955772,0.111027757,0.112538621,18,clump
214,29,29.1,3.370738174,2.895,31.41,11,1.151,0.14063113,0.993395705,,,0.121,-2.111964733,0.105241972,0.105125977,0.105941642,18,clump
215,29,28.2,3.339321978,2.49,31.41,11,1.037,0.036331929,1.002805157,,,0.138,-1.980501594,0.133684545,0.133076181,0.133310588,18,clump
216,29,30.7,3.424262655,3.355,31.41,11,1.488,0.397432936,1.058038781,,,0.152,-1.883874758,0.110031116,0.261,0.103995353,18,clump
217,29,25,3.218875825,2.303,31.41,11,0.874,-0.134674903,1.307098077,,,0.074,-2.603690186,0.10835627,0.084668192,0.082898347,18,clump
218,29,22.4,3.109060959,1.613,31.41,11,0.673,-0.396009949,1.497810298,,,0.087,-2.44184716,0.185662891,0.129271917,0.123956212,18,clump
219,29,27.4,3.310543013,2.356,31.41,11,0.955,-0.046043939,1.02491042,,,0.122,-2.103734234,0.130446358,0.127748691,0.127275863,18,clump
220,29,27.6,3.317815773,2.506,31.41,11,1.085,0.081579987,1.134170731,,,0.087,-2.44184716,0.09073141,0.080184332,0.079998017,18,clump
305,36,28.1,3.335769576,3.189,29.325,15,1.154,0.143234168,1.130390516,,,0.127,-2.063568193,0.124536771,0.110051993,0.110171458,19,clump
306,36,25.6,3.242592351,2.262,29.134,15,0.772,-0.258770729,1.059566455,,,0.019,-3.9633163,0.02564762,0.024611399,0.024205769,19,clump
307,36,32.6,3.484312288,4.74,29.134,15,1.543,0.433728573,0.882790779,,,0.12,-2.120263536,0.070697073,0.318,0.080083611,19,clump
