"ID","size","tissue","shell","clump.size","type","layer","fouling"
"E4",10.57,0.011,0.082,1,"Singleton",NA,NA
"E1",12.56,0.011,0.098,1,"Singleton",NA,NA
"E2",15.72,0.022,0.148,1,"Singleton",NA,NA
"N15",11.53,0.011,0.101,48,"Mono",NA,NA
"N12",11.57,0.01,0.088,48,"Mono",NA,NA
"N14",13.93,0.017,0.135,48,"Mono",NA,NA
"N13",14.68,0.015,0.152,48,"Mono",NA,NA
"N10",5.94,0.002,0.012,48,"Mono",NA,NA
"N9",7.85,0.003,0.032,48,"Mono",NA,NA
"N7",9.77,0.006,0.05,48,"Mono",NA,NA
"N5",11.34,0.01,0.099,48,"Mono",NA,NA
"N4",11.52,0.011,0.093,48,"Mono",NA,NA
"N11",11.75,0.009,0.093,48,"Mono",NA,NA
"N8",12.21,0.011,0.109,48,"Mono",NA,NA
"N17",12.64,0.012,0.117,48,"Mono",NA,NA
"N3",12.97,0.011,0.131,48,"Mono",NA,NA
"N6",9.16,0.004,0.041,48,"Mono",NA,NA
"N16",12.28,0.012,0.105,48,"Mono",NA,NA
"N2",13.11,0.013,0.109,48,"Mono",NA,NA
"N1",20.2,0.046,0.462,48,"Mono",NA,NA
"N18",22.73,0.065,0.37,48,"Mono",NA,NA
