ID,Sample,size,lnsize,ogtissue,lntissue,tissue,ogshell,lnshell,shell,site,mass,no,ratio,ratio.m,location,body,Type,clump.density
K56,1.3,11.15,2.411439498,0.01,-4.605170186,0.024015536,0.077,-2.563949857,0.159605651,1,25.697,116,2.135135135,9.707083333,sport,0.150467953,Clump,mid
H152,4.2.2,11.21,2.416806237,0.001,-6.907755279,0.002356346,0.072,-2.63108916,0.146900631,4,106.604,222,2.69047619,14.85189591,sport,0.016040409,Clump,high
H179,4.2.1,11.22,2.4176979,0.006,-5.11599581,0.014093509,0.077,-2.563949857,0.156689923,4,106.604,222,2.69047619,14.85189591,sport,0.089945214,Clump,high
K61,1.3,11.25,2.420368129,0.008,-4.828313737,0.018614505,0.103,-2.273026291,0.207955874,1,25.697,116,2.135135135,9.707083333,sport,0.089511801,Clump,mid
H142,4.2.2,11.31,2.42568729,0.005,-5.298317367,0.011416987,0.066,-2.718100537,0.131181442,4,106.604,222,2.69047619,14.85189591,sport,0.087032028,Clump,high
N123,2.2.1,11.39,2.432735777,0.004,-5.521460918,0.008908448,0.075,-2.590267165,0.146006326,2,91.724,282,2.098901099,12.80138429,sport,0.061014126,Clump,high
K87,1.4,11.39,2.432735777,0.013,-4.342805922,0.028952457,0.127,-2.063568193,0.247237378,1,25.697,116,2.135135135,9.707083333,sport,0.117103884,Clump,mid
M35,5.1,11.43,2.436241478,0.01,-4.605170186,0.021996363,0.098,-2.3227878,0.188821386,5,26.516,99,1.605263158,4.463836802,sport,0.116492965,Clump,mid
H174,4.2.1,11.48,2.440606391,0.004,-5.521460918,0.008663599,0.07,-2.659260037,0.133149192,4,106.604,222,2.69047619,14.85189591,sport,0.065066854,Clump,high
K64,1.3,11.48,2.440606391,0.018,-4.017383521,0.038986196,0.17,-1.771956842,0.323362325,1,25.697,116,2.135135135,9.707083333,sport,0.120565054,Clump,mid
K76,1.4,11.51,2.443216223,0.009,-4.710530702,0.019313784,0.092,-2.385966702,0.173655772,1,25.697,116,2.135135135,9.707083333,sport,0.111218785,Clump,mid
K66,1.3,11.55,2.446685437,0.012,-4.422848629,0.025437301,0.108,-2.225624052,0.201783908,1,25.697,116,2.135135135,9.707083333,sport,0.126062087,Clump,mid
L28,3.2,11.57,2.448415541,0.009,-4.710530702,0.018961455,0.083,-2.488914671,0.154286283,3,26.279,92,1.967741935,5.332289157,sport,0.122897869,Clump,mid
N3,2,11.59,2.450142657,0.006,-5.11599581,0.012563898,0.071,-2.645075402,0.131310013,2,91.724,282,2.098901099,12.80138429,sport,0.095681184,Clump,high
K46,1.2,11.6,2.451005098,0.009,-4.710530702,0.018788381,0.082,-2.501036032,0.151268993,1,25.697,116,2.135135135,9.707083333,sport,0.124205102,Clump,mid
K11,1.1,11.61,2.451866796,0.009,-4.710530702,0.01873114,0.084,-2.47693848,0.154565608,1,25.697,116,2.135135135,9.707083333,sport,0.121185689,Clump,mid
N58,2.1,11.63,2.453587967,0.004,-5.521460918,0.008274367,0.065,-2.733368009,0.118999412,2,91.724,282,2.098901099,12.80138429,sport,0.069532843,Clump,high
H114,4.1.1,11.65,2.45530618,0.009,-4.710530702,0.018504399,0.106,-2.244316185,0.193080755,4,106.604,222,2.69047619,14.85189591,sport,0.095837616,Clump,high
H113,4.1.1,11.72,2.461296784,0.004,-5.521460918,0.008051558,0.075,-2.590267165,0.134223889,4,106.604,222,2.69047619,14.85189591,sport,0.059986025,Clump,high
K59,1.3,11.72,2.461296784,0.004,-5.521460918,0.008051558,0.073,-2.617295838,0.130644585,1,25.697,116,2.135135135,9.707083333,sport,0.061629477,Clump,mid
K6,1.1,11.74,2.463001814,0.009,-4.710530702,0.018006958,0.089,-2.419118909,0.15848096,1,25.697,116,2.135135135,9.707083333,sport,0.11362222,Clump,mid
N33,2,11.76,2.464703942,0.008,-4.828313737,0.015910002,0.108,-2.225624052,0.191352035,2,91.724,282,2.098901099,12.80138429,sport,0.083145195,Clump,high
K37,1.2,11.85,2.472327868,0.015,-4.199705078,0.029036694,0.101,-2.292634762,0.174975165,1,25.697,116,2.135135135,9.707083333,sport,0.165947514,Clump,mid
M62,5.2,11.87,2.474014209,0.012,-4.422848629,0.023091058,0.1,-2.302585093,0.172384209,5,26.516,99,1.605263158,4.463836802,sport,0.133951121,Clump,mid
N190,2.3.3,11.88,2.474856314,0.005,-5.298317367,0.009592627,0.088,-2.430418465,0.151322232,2,91.724,282,2.098901099,12.80138429,sport,0.063392055,Clump,high
M59,5.2,11.95,2.480731278,0.007,-4.96184513,0.013153183,0.097,-2.3330443,0.163936321,5,26.516,99,1.605263158,4.463836802,sport,0.08023349,Clump,mid
K99,1.4,11.96,2.481567749,0.012,-4.422848629,0.022481626,0.14,-1.966112856,0.236026779,1,25.697,116,2.135135135,9.707083333,sport,0.09525032,Clump,mid
K90,1.4,11.97,2.48240352,0.014,-4.268697949,0.026151056,0.128,-2.055725015,0.215265237,1,25.697,116,2.135135135,9.707083333,sport,0.12148295,Clump,mid
H158,4.2.2,12.03,2.48740353,0.004,-5.521460918,0.007340607,0.099,-2.312635429,0.164059716,4,106.604,222,2.69047619,14.85189591,sport,0.044743508,Clump,high
K72,1.4,12.05,2.48906466,0.005,-5.298317367,0.009121945,0.087,-2.44184716,0.143469872,1,25.697,116,2.135135135,9.707083333,sport,0.06358091,Clump,mid
L51,3.3,12.1,2.493205453,0.012,-4.422848629,0.021574008,0.105,-2.253794929,0.171053867,3,26.279,92,1.967741935,5.332289157,sport,0.126124058,Clump,mid
K14,1.1,12.13,2.495681723,0.014,-4.268697949,0.024949941,0.125,-2.079441542,0.202155421,1,25.697,116,2.135135135,9.707083333,sport,0.123419599,Clump,mid
N31,2,12.16,2.498151877,0.003,-5.80914299,0.005299856,0.087,-2.44184716,0.139680004,2,91.724,282,2.098901099,12.80138429,sport,0.037942838,Clump,high
H219,4.2.1,12.16,2.498151877,0.003,-5.80914299,0.005299856,0.079,-2.538307427,0.126835866,4,106.604,222,2.69047619,14.85189591,sport,0.04178515,Clump,high
N119,2.2.1,12.16,2.498151877,0.007,-4.96184513,0.01236633,0.114,-2.171556831,0.183028971,2,91.724,282,2.098901099,12.80138429,sport,0.067564878,Clump,high
M58,5.2,12.2,2.501435952,0.008,-4.828313737,0.01396955,0.102,-2.282782466,0.162186017,5,26.516,99,1.605263158,4.463836802,sport,0.086132886,Clump,mid
K50,1.2,12.29,2.508785924,0.012,-4.422848629,0.020415998,0.104,-2.26336438,0.161823948,1,25.697,116,2.135135135,9.707083333,sport,0.126161784,Clump,mid
M61,5.2,12.34,2.512846018,0.012,-4.422848629,0.020124581,0.107,-2.234926445,0.164512392,5,26.516,99,1.605263158,4.463836802,sport,0.122328664,Clump,mid
M18,5.1,12.36,2.514465452,0.005,-5.298317367,0.008337295,0.093,-2.375155786,0.142306859,5,26.516,99,1.605263158,4.463836802,sport,0.058586742,Clump,mid
K5,1.1,12.39,2.516889696,0.012,-4.422848629,0.019838477,0.129,-2.047942875,0.195988659,1,25.697,116,2.135135135,9.707083333,sport,0.101222578,Clump,mid
N200,2.3.3,12.55,2.529720666,0.008,-4.828313737,0.012638197,0.124,-2.087473713,0.181403878,2,91.724,282,2.098901099,12.80138429,sport,0.069668838,Clump,high
M44,5.1,12.58,2.532108251,0.013,-4.342805922,0.020364173,0.119,-2.128631786,0.172868989,5,26.516,99,1.605263158,4.463836802,sport,0.117801194,Clump,mid
M68,5.2,12.59,2.532902848,0.012,-4.422848629,0.018744882,0.131,-2.032557956,0.189856204,5,26.516,99,1.605263158,4.463836802,sport,0.098731998,Clump,mid
L49,3.3,12.61,2.53449015,0.012,-4.422848629,0.01863982,0.115,-2.162823151,0.16589011,3,26.279,92,1.967741935,5.332289157,sport,0.112362453,Clump,mid
M40,5.1,12.66,2.538447417,0.018,-4.017383521,0.027570671,0.117,-2.145581344,0.166818981,5,26.516,99,1.605263158,4.463836802,sport,0.165272985,Clump,mid
N4,2,12.67,2.539236994,0.012,-4.422848629,0.018329129,0.131,-2.032557956,0.186346263,2,91.724,282,2.098901099,12.80138429,sport,0.098360595,Clump,high
K57,1.3,12.68,2.540025949,0.011,-4.509860006,0.016754829,0.113,-2.18036746,0.160368262,1,25.697,116,2.135135135,9.707083333,sport,0.104477211,Clump,mid
K69,1.4,12.69,2.540814282,0.016,-4.135166557,0.024302724,0.121,-2.111964733,0.171323418,1,25.697,116,2.135135135,9.707083333,sport,0.141852904,Clump,mid
L53,3.3,12.73,2.543961413,0.016,-4.135166557,0.024033399,0.134,-2.009915479,0.187979124,3,26.279,92,1.967741935,5.332289157,sport,0.127851423,Clump,mid
L62,3.4,12.76,2.546315278,0.008,-4.828313737,0.011916956,0.088,-2.430418465,0.122595883,3,26.279,92,1.967741935,5.332289157,sport,0.097205189,Clump,mid
H173,4.2.1,12.78,2.547881449,0.004,-5.521460918,0.005925525,0.084,-2.47693848,0.116484648,4,106.604,222,2.69047619,14.85189591,sport,0.050869578,Clump,high
K13,1.1,12.79,2.548663616,0.016,-4.135166557,0.023636543,0.121,-2.111964733,0.167407166,1,25.697,116,2.135135135,9.707083333,sport,0.141191945,Clump,mid
H121,4.2.2,12.81,2.550226116,0.005,-5.298317367,0.007345665,0.089,-2.419118909,0.122568697,4,106.604,222,2.69047619,14.85189591,sport,0.059931003,Clump,high
H175,4.2.1,12.82,2.551006451,0.007,-4.96184513,0.010255554,0.073,-2.617295838,0.100303026,4,106.604,222,2.69047619,14.85189591,sport,0.102245708,Clump,high
K68,1.4,12.82,2.551006451,0.011,-4.509860006,0.016115871,0.103,-2.273026291,0.141523448,1,25.697,116,2.135135135,9.707083333,sport,0.113874208,Clump,mid
H26,4,12.85,2.553343811,0.01,-4.605170186,0.014530033,0.114,-2.171556831,0.155562723,4,106.604,222,2.69047619,14.85189591,sport,0.093403053,Clump,high
K60,1.3,12.87,2.554899022,0.005,-5.298317367,0.007225118,0.112,-2.189256408,0.152134924,1,25.697,116,2.135135135,9.707083333,sport,0.047491516,Clump,mid
K7,1.1,12.88,2.555675721,0.015,-4.199705078,0.021615823,0.118,-2.137070655,0.159918672,1,25.697,116,2.135135135,9.707083333,sport,0.135167598,Clump,mid
M79,5.2,12.96,2.561867691,0.01,-4.605170186,0.014098025,0.112,-2.189256408,0.149043482,5,26.516,99,1.605263158,4.463836802,sport,0.094590013,Clump,mid
H41,4.1.1,12.97,2.562638998,0.009,-4.710530702,0.012653616,0.132,-2.024953356,0.175259699,4,106.604,222,2.69047619,14.85189591,sport,0.072199232,Clump,high
K19,1.1,12.99,2.564179831,0.016,-4.135166557,0.022372914,0.128,-2.055725015,0.1691791,1,25.697,116,2.135135135,9.707083333,sport,0.132243962,Clump,mid
L72,3.4,13.02,2.566486637,0.011,-4.509860006,0.015256249,0.147,-1.917322692,0.192975722,3,26.279,92,1.967741935,5.332289157,sport,0.079057868,Clump,mid
H200,4.2.1,13.03,2.567254391,0.009,-4.710530702,0.012448497,0.103,-2.273026291,0.134908799,4,106.604,222,2.69047619,14.85189591,sport,0.092273425,Clump,high
