ID,Sample,size,tissue,shell,situ,site,mass,no,ratio,ratio.m,location,body,clump
M11,5,9.98,0.004,0.059,clump,5,26.516,99,1.605263158,4.463836802,sport,0.06779661,mid
M53,5,11.53,0.008,0.075,clump,5,26.516,99,1.605263158,4.463836802,sport,0.106666667,mid
M12,5,11.94,0.008,0.081,clump,5,26.516,99,1.605263158,4.463836802,sport,0.098765432,mid
N191,2.3.3,6.55,0,0.014,clump,2,91.724,282,2.098901099,12.80138429,sport,0,high
N192,2.3.3,6.74,0.001,0.018,clump,2,91.724,282,2.098901099,12.80138429,sport,0.055555556,high
N197,2.3.3,9.05,0.003,0.04,clump,2,91.724,282,2.098901099,12.80138429,sport,0.075,high
N187,2.3.3,11.6,0.005,0.081,clump,2,91.724,282,2.098901099,12.80138429,sport,0.061728395,high
N182,2.3.3,13.53,0.01,0.127,clump,2,91.724,282,2.098901099,12.80138429,sport,0.078740157,high
N174,2.3.2,6.98,0.001,0.016,clump,2,91.724,282,2.098901099,12.80138429,sport,0.0625,high
N168,2.3.2,9.41,0.004,0.034,clump,2,91.724,282,2.098901099,12.80138429,sport,0.117647059,high
N164,2.3.2,8.81,0.004,0.039,clump,2,91.724,282,2.098901099,12.80138429,sport,0.102564103,high
N169,2.3.2,11.55,0.007,0.078,clump,2,91.724,282,2.098901099,12.80138429,sport,0.08974359,high
N163,2.3.2,12.23,0.009,0.087,clump,2,91.724,282,2.098901099,12.80138429,sport,0.103448276,high
N145,2.3.1,9.26,0.006,0.047,clump,2,91.724,282,2.098901099,12.80138429,sport,0.127659574,high
N155,2.3.1,9.28,0.003,0.048,clump,2,91.724,282,2.098901099,12.80138429,sport,0.0625,high
N144,2.3.1,13.24,0.012,0.125,clump,2,91.724,282,2.098901099,12.80138429,sport,0.096,high
N103,2.2.1,7.6,0.002,0.021,clump,2,91.724,282,2.098901099,12.80138429,sport,0.095238095,high
N128,2.2.1,8.92,0.002,0.034,clump,2,91.724,282,2.098901099,12.80138429,sport,0.058823529,high
N73,2.1.2?,12.77,0.009,0.105,clump,2,91.724,282,2.098901099,12.80138429,sport,0.085714286,high
N74,2.1.2?,13.16,0.011,0.122,clump,2,91.724,282,2.098901099,12.80138429,sport,0.090163934,high
N62,2.1.1?,14.13,0.017,0.133,clump,2,91.724,282,2.098901099,12.80138429,sport,0.127819549,high
N44,2.1.1,11.63,0.007,0.084,clump,2,91.724,282,2.098901099,12.80138429,sport,0.083333333,high
N53,2.1.1,13.18,0.01,0.103,clump,2,91.724,282,2.098901099,12.80138429,sport,0.097087379,high
N12,2,6.89,0.001,0.014,clump,2,91.724,282,2.098901099,12.80138429,sport,0.071428571,high
N8,2,6.85,0.001,0.015,clump,2,91.724,282,2.098901099,12.80138429,sport,0.066666667,high
N17,2,7.45,0,0.017,clump,2,91.724,282,2.098901099,12.80138429,sport,0,high
N25,2,7.16,0.001,0.017,clump,2,91.724,282,2.098901099,12.80138429,sport,0.058823529,high
N27,2,7.08,0.002,0.019,clump,2,91.724,282,2.098901099,12.80138429,sport,0.105263158,high
N23,2,7.15,0.001,0.02,clump,2,91.724,282,2.098901099,12.80138429,sport,0.05,high
N26,2,7.14,0.001,0.02,clump,2,91.724,282,2.098901099,12.80138429,sport,0.05,high
N28,2,7.04,0.002,0.021,clump,2,91.724,282,2.098901099,12.80138429,sport,0.095238095,high
N24,2,7.32,0.002,0.022,clump,2,91.724,282,2.098901099,12.80138429,sport,0.090909091,high
N22,2,7.01,0.001,0.025,clump,2,91.724,282,2.098901099,12.80138429,sport,0.04,high
N18,2,8.51,0.002,0.029,clump,2,91.724,282,2.098901099,12.80138429,sport,0.068965517,high
N21,2,9.53,0.002,0.029,clump,2,91.724,282,2.098901099,12.80138429,sport,0.068965517,high
N2,2,9.86,0.003,0.044,clump,2,91.724,282,2.098901099,12.80138429,sport,0.068181818,high
N20,2,9.95,0.003,0.045,clump,2,91.724,282,2.098901099,12.80138429,sport,0.066666667,high
N30,2,14.12,0.008,0.123,clump,2,91.724,282,2.098901099,12.80138429,sport,0.06504065,high
H20,4,14.54,0.01,0.127,clump,4,106.604,222,2.69047619,14.85189591,sport,0.078740157,high
H21,4,14.98,0.012,0.146,clump,4,106.604,222,2.69047619,14.85189591,sport,0.082191781,high
H141,4.2.2,7.08,0.002,0.016,clump,4,106.604,222,2.69047619,14.85189591,sport,0.125,high
H134,4.2.2,6.53,0.001,0.017,clump,4,106.604,222,2.69047619,14.85189591,sport,0.058823529,high
H133,4.2.2,7.68,0.002,0.025,clump,4,106.604,222,2.69047619,14.85189591,sport,0.08,high
H124,4.2.2,8.01,0.003,0.028,clump,4,106.604,222,2.69047619,14.85189591,sport,0.107142857,high
H135,4.2.2,8.07,0.002,0.03,clump,4,106.604,222,2.69047619,14.85189591,sport,0.066666667,high
H122,4.2.2,8.58,0.002,0.037,clump,4,106.604,222,2.69047619,14.85189591,sport,0.054054054,high
